GlobalId,UUID,layer_index,layer_name,area_m2,volume_m3,co2_total
2OBrcmyk58NupXoVOHUtC0,4b68e8bd-f8a8-4290-ac76-96c2bf3007bf,1,layer_1,22.607,0.362,-168.425
2OBrcmyk58NupXoVOHUtDX,4b68e8bd-f8a8-4290-ac76-96c2bf3007bf,1,layer_1,22.608,0.362,-168.426
2OBrcmyk58NupXoVOHUtBP,4b68e8bd-f8a8-4290-ac76-96c2bf3007bf,1,layer_1,22.65,0.362,-168.742
2OBrcmyk58NupXoVOHUt8F,4b68e8bd-f8a8-4290-ac76-96c2bf3007bf,1,layer_1,22.607,0.362,-168.425
2OBrcmyk58NupXoVOHUt8s,4b68e8bd-f8a8-4290-ac76-96c2bf3007bf,1,layer_1,9.322,0.149,-69.451
2OBrcmyk58NupXoVOHUt5W,4b68e8bd-f8a8-4290-ac76-96c2bf3007bf,1,layer_1,9.322,0.149,-69.45
2OBrcmyk58NupXoVOHUtxr,4b68e8bd-f8a8-4290-ac76-96c2bf3007bf,1,layer_1,60.724,0.972,-452.396
2OBrcmyk58NupXoVOHUtgP,4b68e8bd-f8a8-4290-ac76-96c2bf3007bf,1,layer_1,60.724,0.972,-452.395
2OBrcmyk58NupXoVOHUtC0,205b761d-e344-49c3-a3a9-bb1bfd59b916,2,layer_2,22.607,0.068,3.187
2OBrcmyk58NupXoVOHUtDX,205b761d-e344-49c3-a3a9-bb1bfd59b916,2,layer_2,22.608,0.068,3.187
2OBrcmyk58NupXoVOHUtBP,205b761d-e344-49c3-a3a9-bb1bfd59b916,2,layer_2,22.65,0.068,3.193
2OBrcmyk58NupXoVOHUt8F,205b761d-e344-49c3-a3a9-bb1bfd59b916,2,layer_2,22.608,0.068,3.187
2OBrcmyk58NupXoVOHUt8s,205b761d-e344-49c3-a3a9-bb1bfd59b916,2,layer_2,9.322,0.028,1.314
2OBrcmyk58NupXoVOHUt5W,205b761d-e344-49c3-a3a9-bb1bfd59b916,2,layer_2,9.322,0.028,1.314
2OBrcmyk58NupXoVOHUtxr,205b761d-e344-49c3-a3a9-bb1bfd59b916,2,layer_2,60.724,0.182,8.56
2OBrcmyk58NupXoVOHUtgP,205b761d-e344-49c3-a3a9-bb1bfd59b916,2,layer_2,60.724,0.182,8.56
2OBrcmyk58NupXoVOHUt2f,28dcb89f-be15-465a-8341-41d741d94d13,1,layer_1,6.34,0.063,48.05
2OBrcmyk58NupXoVOHUt0F,28dcb89f-be15-465a-8341-41d741d94d13,1,layer_1,6.34,0.063,48.05
2OBrcmyk58NupXoVOHUtoa,28dcb89f-be15-465a-8341-41d741d94d13,1,layer_1,12.954,0.13,98.179
2OBrcmyk58NupXoVOHUtjR,28dcb89f-be15-465a-8341-41d741d94d13,1,layer_1,3.161,0.032,23.957
2OBrcmyk58NupXoVOHUtju,28dcb89f-be15-465a-8341-41d741d94d13,1,layer_1,3.161,0.032,23.957
2OBrcmyk58NupXoVOHUten,28dcb89f-be15-465a-8341-41d741d94d13,1,layer_1,12.954,0.13,98.179
2OBrcmyk58NupXoVOHUt2f,1ebab79c-2c74-42ec-b023-a5c8f62a6066,2,layer_2,6.34,0.019,11.967
2OBrcmyk58NupXoVOHUt0F,1ebab79c-2c74-42ec-b023-a5c8f62a6066,2,layer_2,6.34,0.019,11.967
2OBrcmyk58NupXoVOHUtoa,1ebab79c-2c74-42ec-b023-a5c8f62a6066,2,layer_2,12.954,0.039,24.452
2OBrcmyk58NupXoVOHUtjR,1ebab79c-2c74-42ec-b023-a5c8f62a6066,2,layer_2,3.161,0.009,5.967
2OBrcmyk58NupXoVOHUtju,1ebab79c-2c74-42ec-b023-a5c8f62a6066,2,layer_2,3.161,0.009,5.967
2OBrcmyk58NupXoVOHUten,1ebab79c-2c74-42ec-b023-a5c8f62a6066,2,layer_2,12.954,0.039,24.452
1CZILmCaHETO8tf3SgGEWh,b66eed7c-c924-4c6a-b906-f2cd08189451,1,layer_1,25.431,3.815,1246.056
1CZILmCaHETO8tf3SgGEXu,b66eed7c-c924-4c6a-b906-f2cd08189451,1,layer_1,25.431,3.815,1246.071
2O2Fr$t4X7Zf8NOew3FKau,fbde9f28-e9d8-4300-9b21-dea035f5bc15,1,layer_1,11.33,0.181,13.252
